Abstract,DOI,link,Topic
"Are the UK and other countries right to adopt a market based model for improving their health services? Steffie Woolhandler and David Himmelstein believe that the appropriate response to the US experience with such policies is quarantine, not replication",https://doi.org/10.1136/bmj.39400.549502.94,https://pubmed.ncbi.nlm.nih.gov/18048539/,economics
"Introduction:
        
      
      In the majority of developing countries, the volume of medical insurance services, provided by social insurance organizations is inadequate. Thus, supplementary medical insurance is proposed as a means to address inadequacy of medical insurance. Accordingly, in this article, we attempted to provide the context for expansion of this important branch of insurance through identification of essential factors affecting demand for supplementary medical insurance.
    


          Method:
        
      
      In this study, two methods were used to identify essential factors affecting choice of supplementary medical insurance including Classification and Regression Trees (CART) and Bayesian logit. To this end, Excel® software was used to refine data and R® software for estimation. The present study was conducted during 2012, covering all provinces in Iran. Sample size included 18,541 urban households, selected by Statistical Center of Iran using 3-stage cluster sampling approach. In this study, all data required were collected from the Statistical Center of Iran.
    


          Results:
        
      
      In 2012, an overall 8.04% of the Iranian population benefited from supplementary medical insurance. Demand for supplementary insurance is a concave function of age of the household head, and peaks in middle-age when savings and income are highest. The present study results showed greater likelihood of demand for supplementary medical insurance in households with better economic status, higher educated heads, female heads, and smaller households with greater expected medical expenses, and household income is the most important factor affecting demand for supplementary medical insurance.
    


          Conclusion:
        
      
      Since demand for supplementary medical insurance is hugely influenced by households' economic status, policy-makers in the health sector should devise measures to improve households' economic or financial access to supplementary insurance services, by identifying households in the lower economic deciles, and increasing their financial ability to pay. Moreover, insurance companies should adjust their insurance policy according to clients' needs, household characteristics, and their incomes.",https://doi.org/10.5539/gjhs.v7n6p285,https://pubmed.ncbi.nlm.nih.gov/26153181/,economics
"Background:
        
      
      Economic cost-effectiveness analysis (CEA) has been proposed as the appropriate tool to set priorities for resource allocation among available health interventions. Controversy remains about the way CEA should be used in the field of HIV/AIDS.
    


          Methods and objectives:
        
      
      This paper reviews the general literature in health economics and public economics about the use of CEA for priority setting in public health, in order better to inform current debates about resource allocation in the fight against HIV/AIDS.
    


          Results:
        
      
      Theoretical and practical limitations of CEA do not raise major problems when it is applied to compare alternatives for treating the same medical condition or public health problem. Using CEA to set priorities among different health interventions by ranking them from the lowest to the highest values of their cost per life-year saved is appropriate only under the very restrictive and unrealistic assumptions that all interventions compared are discrete and finite alternatives that cannot vary in terms of size and scale. In order for CEA to inform resource allocation compared across programmes to fight the AIDS epidemic, a pragmatic interpretation of this economic approach, like that proposed by the Commission on Macroeconomics and Health, is better suited. Interventions, like a number of preventive strategies and first-line antiretroviral treatments for HIV, whose marginal costs per additional life-year saved are less than three times the gross domestic product per capita, should be considered cost-effective.
    


          Conclusion:
        
      
      Because of their empirical and theoretical limitations, results of CEA should only be one element in priority setting among interventions for HIV/AIDS, which should also be informed by explicit debates about societal and ethical preferences.",https://doi.org/10.1097/01.aids.0000327624.69974.41,https://pubmed.ncbi.nlm.nih.gov/18664955/,economics
"Background:
        
      
      The extent to which pharmaceutical companies promote the economic advantages of their products in advertisements in medical journals, and whether such claims are supported by evidence, has not been quantified. Our objectives were to examine how often prescription drug advertisements in leading medical journals contain economic messages, and to determine the types of promotional claims made and whether supporting evidence is provided.
    


          Methods:
        
      
      All prescription drug advertisements appearing in six leading general medical and specialty journals in 3 selected months annually from 1990 to 1999 were reviewed. Using a standard data collection form, two reviewers examined each ad for economic content-including mention of the drug's price, value, cost saving, or cost-effectiveness.
    


          Results:
        
      
      Economic messages appeared in 237 (11.1%) of the 2144 advertisements examined. Proportion of ads with economic content has increased over time (P = 0.003). Most frequently, economic ads contained statements that drugs were ""less expensive"" or ""cost less"" than alternative treatments (50.6% of economic ads). Supporting evidence for economic claims was clearly reported in 63.7% of cases, and typically referred to published drug prices rather than more detailed economic analysis. Ads for calcium channel blocking agents and ACE inhibitors frequently contained economic messages.
    


          Conclusions:
        
      
      Economic messages about prescription drugs are used in advertisements in leading medical journals and their frequency may be rising. Physicians should be aware of this phenomenon, and its potential impact on their prescribing decisions. More scrutiny of the supporting evidence underlying economic claims by the medical community and regulators may be needed.",https://doi.org/10.1097/00005650-200209000-00013,https://pubmed.ncbi.nlm.nih.gov/12218774/,economics
"States choose to provide Medicaid coverage via managed care or traditional fee-for-service. Managed care provided by private insurers poses higher contracting costs and information asymmetry than traditional fee-for-service but potentially improves efficiency and reduces spending. Evaluating the effect of managed care on Medicaid spending is challenging because adoption of managed care is nonrandom and may be driven by local economic shocks that simultaneously affect Medicaid spending. This study implements a dynamic panel framework to estimate the effect of managed care enrollment on spending levels and program design. Results show reductions in Medicaid spending larger than previously found in cross-state studies: A 10% increase of managed care enrollment reduces state Medicaid spending by 2.94%, or approximately $55 million. The study identifies which areas of spending are differentially affected by managed care enrollment and whether savings from managed care affect Medicaid design, specifically coverage generosity.",https://doi.org/10.1002/hec.3608,https://pubmed.ncbi.nlm.nih.gov/29168257/,economics
"The rising cost of healthcare has strained the resources of governments, private third parties and individuals with responsibility to pay for it. Various strategies have been used in an attempt to control costs. This article examines the economic impact of 4 such strategies: (a) cost sharing; (b) prescription limits; (c) rebates; and (d) cost limits. Cost sharing has been successful at reducing utilisation of prescription drugs, although the effects have not been uniform across therapeutic categories. However, the long term effect on cost and utilisation of other medical services, and the impact on overall health status, remain largely unknown. Some evidence suggests that utilisation of other services may increase. The available data regarding drug rebate programmes have been descriptive in nature. However, the designs employed in this research do not establish a direct causal relationship between rebate programmes and changes in Medicaid drug expenditure. Furthermore, still unknown is the degree of cost shifting and the effect of the rebate programme on other large public and private drug purchasers. The Maximum Allowable Cost programme led to direct savings in drug costs, but the size of these savings was variable and uncertain because of administrative costs of the programme. The Estimated Acquisition Cost programme has not resulted in significant savings.",https://doi.org/10.2165/00019053-199304020-00004,https://pubmed.ncbi.nlm.nih.gov/10146971/,economics
"Objective:
        
      
      Our objective is to review and assess the main pharmaceutical cost-containment policies used in Ireland in recent years, and to highlight how a policy that improved fiscal sustainability but worsened economic sustainability could have improved both if an option-based approach was implemented.
    


          Method:
        
      
      The main public pharmaceutical cost-containment policy measures including reducing the ex-factory price of drugs, pharmacy dispensing fees and community drug scheme coverage, and increasing patient copayments are outlined along with the resulting savings. We quantify the cost implications of a new policy that restricts the entitlement to free prescription drugs of persons older than 70 years and propose an alternative option-based policy that reduces the total cost to both the state and the patient.
    


          Results:
        
      
      This set of policy measures reduced public spending on community drugs by an estimated €380m in 2011. The policy restricting free prescription drugs for persons older than 70 years, though effective in reducing public cost, increased the total cost of the drugs supplied. The policy-induced cost increase stems from a fees anomaly between the two main community drugs schemes which is circumvented by our alternative option-based policy.
    


          Conclusions:
        
      
      Our findings highlight the need for policymakers, even when absorbed with reducing cost, to design cost-containment policies that are both fiscally and economically sustainable.",https://doi.org/10.1016/j.jval.2011.10.007,https://pubmed.ncbi.nlm.nih.gov/22433772/,economics
"This article reviews efforts in the United States and several other member countries of the Organization for Economic Cooperation and Development to encourage patients, through cost sharing, to use goods such as medications, services, and providers that offer better value than other options--an approach known as value-based cost sharing. Among the countries we reviewed, we found that value-based approaches were most commonly applied to drug cost sharing. A few countries, including the United States, employed financial incentives, such as lower copayments, to encourage use of preferred providers or preventive services. Evidence suggests that these efforts can increase patients' use of high-value services--although they may also be associated with high administrative costs and could exacerbate health inequalities among various groups. With careful design, implementation, and evaluation, value-based cost sharing can be an important tool for aligning patient and provider incentives to pursue high-value care.",https://doi.org/10.1377/hlthaff.2012.0964,https://pubmed.ncbi.nlm.nih.gov/23569050/,economics
"Against a background of increasing demands on limited resources, studies that relate benefits of health interventions to the resources they consume will be an important part of any decision-making process in primary care, and an accurate assessment of costs will be an important part of any economic evaluation. Although there is no such thing as a gold standard cost estimate, there are a number of basic costing concepts that underlie any costing study. How costs are derived and combined will depend on the assumptions that have been made in their derivation. It is important to be clear what assumptions have been made and why in order to maintain consistency across comparative studies and prevent inappropriate conclusions being drawn. This paper outlines some costing concepts and principles to enable primary care practitioners and researchers to have a basic understanding of costing exercises and their pitfalls.",https://doi.org/10.1093/fampra/17.1.66,https://pubmed.ncbi.nlm.nih.gov/10673493/,economics
"For the fourth consecutive year, growth in health care spending remained low, increasing by 3.7 percent in 2012 to $2.8 trillion. At the same time, the share of the economy devoted to health fell slightly (from 17.3 percent to 17.2 percent) as the nominal gross domestic product (GDP) grew by 4.6 percent. Faster growth in hospital services and in physician and clinical services was mitigated by slower growth in prices for prescription drugs and nursing home services. Despite an uptick in enrollment growth, Medicare spending growth slowed slightly in 2012, mainly due to lower payment updates. For Medicaid, slowing enrollment growth kept spending growth near historic lows. Growth in private health insurance spending also remained near historically low rates in 2012, largely influenced by the nation's modest economic recovery and its impact on enrollment.",https://doi.org/10.1377/hlthaff.2013.1254,https://pubmed.ncbi.nlm.nih.gov/24395937/,economics
"625 five consecutive cases of industrial hand injuries attending the Employee's State Insurance Hospital, Jaipur, have been studied from 1983 to October 1986. The incidence of injuries was 36 per 10,000 workers per year. 47% were due to entrapment of the hand in active machines, 25% occurred during lifting and transportation of heavy objects and 12% while handling tools. The injuries resulted in residual deficit in 55% of cases and were serious enough to require absence from work of more than four weeks in 48% of cases. On an average 35 days were lost per injured worker. The average economic loss per injured worker was Rs. 6900 (approximately pounds 275) for workers in the wage-range of Rs. 5400 to 19,200 (pounds 216 to pounds 768) per annum.",https://doi.org/10.1016/0266-7681(88)90101-5,https://pubmed.ncbi.nlm.nih.gov/2971743/,economics
"Healthcare decision makers and pharmaceutical companies are increasingly using techniques of economic evaluation, particularly modelling, to assist them in their decisions about drug purchasing and drug development. The use of models in other types of policy decisions is also well established. One option, to shorten the time to a purchasing decision, would be for an interim decision for approval for reimbursement to be based on an economic model. Such a system would mainly benefit the drug development process and thus the pharmaceutical industry; however the approach could also lead to poor decision making, unethical marketing and withdrawal of drugs from the consumer. In this article, we consider the option of a two-stage economic appraisal process from the point of view of the seller, the purchaser and the patient and public. Although a two-stage process may offer some advantages in terms of early return on investment and access, there are significant disadvantages in terms of certainty about effects and public policy and expenditure. Until there are better methods of predicting the effectiveness of a new product, it is unlikely that interim decisions can be seen as a reasonable health policy alternative, although it seems likely that industry may continue to lobby for such an approach.",https://doi.org/10.2165/00019053-200321110-00001,https://pubmed.ncbi.nlm.nih.gov/12859218/,economics
"Hospital use and spending greatly increased in 2001 and 2002, reversing a long-term trend. In this paper we contend that the forces driving current hospital expenditures are more likely to continue than they are to abate. If current trends continue, real hospital spending per capita will increase 75 percent between 2002 and 2012, and the demand for hospital beds will increase considerably. We discuss numerous forces that will contribute to spending growth, including technology, which is likely to continue to raise costs. We also find that hospital spending by baby boomers grew more rapidly than that of the elderly, a change in trend that could presage increased spending as this cohort moves into higher-spending age groups.",https://doi.org/10.1377/hlthaff.22.6.12,https://pubmed.ncbi.nlm.nih.gov/14649429/,economics
"Payment incentives to both consumers and providers have significant consequences for the equity and efficiency of a healthcare system, and have recently come to the fore in health policy reforms. This review first discusses the economic rationale for the apparent international convergence toward payment systems with mixed demand- and supply-side cost sharing. The recent payment reforms undertaken in Taiwan, South Korea and China are then summarised. Available evidence clearly indicates that payment incentives matter, and, in particular, that supply-side cost sharing can improve efficiency without undermining equity. Further study and monitoring of health service quality and risk selection is warranted.",https://doi.org/10.2165/00148365-200403010-00009,https://pubmed.ncbi.nlm.nih.gov/15702940/,economics
"Arrow asserted that a variety of institutional arrangements and observable mores of the medical profession were functional responses to the failure of the market to insure against uncertainties. But one of these norms--the ethic to provide treatment without regard to ability to pay--was also a response to the failure of the political system to assure the elderly and poor would not suffer more than others when they got sick. This ethic is strikingly different from the norm in most other areas of the economy. Automobile dealers and department stores are not expected to give away their products to the poor; neither are grocery stores or farmers. Public education is a closer analogy, reflecting the norm that all children deserve a good education. In education, however, unlike in medicine, we collectively support this norm by providing public funds to accomplish this goal rather than by relying on the private market. In 1963, physicians argued that a combination of the market and private philanthropy (including the obligations of physicians) would be sufficient to guarantee high-quality care for the elderly and the poor. Government financing, they argued, would lead to socialized medicine, impairing relationships between physicians and patients and between physicians and society. Based on his article, Arrow would not have agreed. Neither, apparently, did the public. The enactment of Medicare indicated, in part, that many people understood, even in 1965, the extent to which treatment choices and outcomes were affected by ability to pay. Events since 1965 suggest that there is some tension between insurance and ethical responses to uncertainty despite Arrow's endorsement of both. I have argued here that Medicare and Medicaid further eroded the ethic that treatment should be available without regard to ability to pay by reducing physician willingness to provide charity care and by reducing the resources available to public hospitals and the interest of private teaching hospitals in providing care to the uninsured poor. Largely independent of Medicare and Medicaid, the increasing importance of pharmaceuticals and other services delivered outside of the hospital further strengthened the connection between treatment choices and ability to pay, and the growth of capitated payment systems made this connection salient to many insured patients and their physicians. In part, then, the AMA was correct: Medicare and Medicaid have contributed to the erosion of trust in physicians as incorruptible agents for patients. Some of this trust undoubtedly was misplaced, even in 1965, and trust alone was not sufficient to guarantee widespread access to medical care or to assure that treatment provided would take true social benefits and costs into account. Medicare and Medicaid, as well as the growth of prepayment insurance plans, represent institutional responses to the failure of the 1963 norms to accomplish societal goals. Still, as we have seen, these responses create their own challenges, and we continue to search for institutions that will allow widespread insurance to coexist with the physician-patient trust that Arrow correctly identified as an important response to uncertainties and information asymmetries in the medical care market.",https://doi.org/10.1215/03616878-26-5-993,https://pubmed.ncbi.nlm.nih.gov/11765276/,economics
"The adoption of new technologies for the treatment of periodontitis and the replacement of teeth has changed the delivery of periodontal care. The objective of this review was to conduct an economic analysis of a mature periodontal service market with a well-developed workforce, including general dentists, dental hygienists and periodontists. Publicly available information about the delivery of periodontal care in the USA was used. A strong trend toward increased utilization of nonsurgical therapy and decreased utilization of surgical periodontal therapy was observed. Although periodontal surgery remained the domain of periodontists, general dentists had taken over most of the nonsurgical periodontal care. The decline in surgical periodontal therapy was associated with an increased utilization of implant-supported prosthesis. Approximately equal numbers of implants were surgically placed by periodontists, oral and maxillofacial surgeons, and general dentists. Porter's framework of the forces driving industry competition was used to analyze the role of patients, dental insurances, general dentists, competitors, entrants, substitutes and suppliers in the periodontal service market. Estimates of out-of-pocket payments of self-pay and insured patients, reimbursement by dental insurances and providers' earnings for various periodontal procedures and alternative treatments were calculated. Economic incentives for providers may explain some of the observed shifts in the periodontal service market. Given the inherent uncertainty about treatment outcomes in dentistry, which makes clinical judgment critical, providers may yield to economic incentives without jeopardizing their ethical standards and professional norms. Although the economic analysis pertains to the USA, some considerations may also apply to other periodontal service markets.",https://doi.org/10.1111/prd.12009,https://pubmed.ncbi.nlm.nih.gov/23574473/,economics
"A new tax credit to help low-income families and individuals purchase health insurance can address the problem of affordability, but will not overcome other barriers these populations face in obtaining coverage. This paper proposes that families have the option of using a new tax credit to buy into a state-administered system such as Medicaid or the State Children's Health Insurance Program. This option has three advantages. First, it allows families to remain with a single health program and health plan as their income fluctuates. Second, it provides an alternative to the complex and confusing individual insurance market. This alternative is community rated, does not use underwriting, and allows health plan behavior to be monitored closely by the state. Third, it allows the state to act as a financial buffer-helping overcome the barrier to participation that cash-flow problems and year-end reconciliation concerns are likely to create among a low-income population. Many people would want to use their tax credit in the private market, but the buy-in option increases the likelihood that the tax credit approach would succeed.",https://doi.org/10.5034/inquiryjrnl_38.2.146,https://pubmed.ncbi.nlm.nih.gov/11529512/,economics
"In recent years, as a result of the rapid growth in the costs of health care, there has been an explosion of interest in the area of economic evaluation. Diabetes has emerged as an economic problem because of the increasing costs of treatments for diabetes and of educational programmes for patients with type II diabetes (non-insulin-dependent diabetes mellitus, NIDDM). In addition to the cost-of-illness analyses, cost-effectiveness, cost-utility, and cost-benefit analyses are the major methods for evaluating the economic efficiency of diabetes treatments, and educational or control programmes. This article briefly reviews some conceptual issues relating to these evaluative methods; if the methods of estimating costs are generally similar for the different evaluative methods, the 3 forms of evaluation vary in the way they assess the outcomes. A more consistent application of recent methods of economic evaluation could improve understanding of the economic consequences of type II diabetes for the individual and society as a whole.",https://doi.org/10.2165/00019053-199500081-00013,https://pubmed.ncbi.nlm.nih.gov/10159006/,economics
"The current status of state and local strategies to contain health care expenditures in the United States is described. These strategies are classified as predominantly regulatory, competitive or voluntary. The actions of two major groups of purchasers of care--state government programs for the indigent and private employers--in support of expenditure containment strategies are discussed as well. The large number of approaches to expenditure containment currently being attempted, and their diverse character, are hypothesized to be a result not only of increased health care inflation and the concern it causes purchasers of care, but also of fundamental changes in the health care industry in the United States which have realigned traditional provider interest groups.",https://doi.org/10.1016/0277-9536(85)90387-9,https://pubmed.ncbi.nlm.nih.gov/3927490/,economics
"Objective:
        
      
      The aim of this review is to provide a summary of the literature on risk-sharing agreements, including conceptual, theoretical and empirical (number of agreements and their achievements) perspectives, and stakeholders' perceptions.
    


          Methods:
        
      
      We conducted a systematic literature search in MEDLINE from 2000 to April 2019, following PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) methodology, and completed it with a manual search of other publications (mainly grey literature). The search was restricted to publications with English abstracts; the initial identification of articles was restricted to the title, abstract and key words fields. The geographical scope was not restricted.
    


          Results:
        
      
      Over 20 studies proposed different taxonomies of risk-sharing contracts, which can be summarised as financial and paying-for-performance agreements. Theoretical studies modelling the incentives to implement risk-sharing agreements are scarce; they addressed different types of contracts and regulatory contexts, characterizing the drug prices and the optimal strategies of the involved agents. Empirical studies describing specific agreements are abundant and referred to different geographical contexts; however, few articles showed the economic results and assessed the value of such contracts. Stakeholders' perceptions of risk-sharing contracting were favourable, but little is known about the economic and clinical advantages of specific agreements. Whether risk-sharing contracts have yielded the desired results for healthcare systems remains uncertain.
    


          Conclusion:
        
      
      Risk-sharing contracts are increasingly used, although the lack of transparency and aggregated registries makes it difficult to learn from these experiences and assess their impact on healthcare systems.",https://doi.org/10.1007/s40273-019-00838-w,https://pubmed.ncbi.nlm.nih.gov/31535280/,economics
"This paper examines the behaviour of public hospitals in response to the average payment incentives created by price changes for patients classified in different diagnosis-related groups (DRGs). Using panel data on public hospitals located within the Italian region of Emilia-Romagna, we test whether a 1-year increase in DRG prices induced public hospitals to increase their volume of activity and whether a potential response is associated with changes in waiting times and/or length of stay. We find that public hospitals reacted to the policy change by increasing the number of patients with surgical treatments. This effect was smaller in the 2 years after the policy change than in later years, and for providers with a lower excess capacity in the pre-policy period, whereas it did not vary significantly across hospitals according to their degree of financial and administrative autonomy. For patients with medical DRGs, instead, there appeared to be no effect on inpatient volumes. Our estimates also suggest that an increase in DRG prices had no impact on the proportion of patients waiting more than 6 months. Finally, we find no evidence of a significant effect on patients' average length of stay. Copyright © 2016 John Wiley & Sons, Ltd.",https://doi.org/10.1002/hec.3435,https://pubmed.ncbi.nlm.nih.gov/27785849/,economics
"Public health programmes tend to be complex and may combine social strategies with aspects of empowerment, capacity building and knowledge across sectors. The nature of the programmes means that some effects are likely to occur outside the healthcare sector; this breadth impacts on the choice of health and non-health outcomes to measure and value in an economic evaluation. Employing conventional outcome measures in evaluations of public health has been questioned. There are concerns that such measures are too narrow, overlook important dimensions of programme effect and, thus, lead to such interventions being undervalued. This issue is of particular importance for low-income and middle-income countries, which face considerable budget constraints, yet deliver a large proportion of health activities within public health programmes. The need to develop outcome measures, which include broader measures of quality of life, has given impetus to the development of a variety of new, holistic approaches, including Sen's capability framework and measures of subjective wellbeing. Despite their promise, these approaches have not yet been widely applied, perhaps because they present significant methodological challenges. This paper outlines the methodological challenges for the identification and measurement of broader outcomes of public health interventions in economic evaluation in low-income and middle-income countries.",https://doi.org/10.1002/hec.3302,https://pubmed.ncbi.nlm.nih.gov/26804360/,economics
